"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"865","INT_CRE_154","SRR37385278","Illumina NovaSeq X","2021-23","Other","LTACH 6",5651531,96,189689,508.539,"Klebsiella pneumoniae","ST258"
"866","INT_CRE_571","SRR37387860","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5537397,71,194583,271.206,"Klebsiella pneumoniae","ST14"
"867","INT_CRE_1206","SRR37385493","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5646074,68,185366,341.869,"Klebsiella pneumoniae","ST14"
"868","INT_CRE_562","SRR37387870","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5441165,57,217820,238.079,"Klebsiella pneumoniae","ST14"
"869","INT_CRE_645","SRR37387852","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5442161,58,185309,468.041,"Klebsiella pneumoniae","ST14"
"870","INT_CRE_615","SRR37387264","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5437650,60,176434,263.899,"Klebsiella pneumoniae","ST14"
"871","INT_CRE_717","SRR37387566","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5440620,61,159570,465.671,"Klebsiella pneumoniae","ST14"
"872","INT_CRE_38","SRR37387742","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5650220,96,129409,334.973,"Klebsiella pneumoniae","ST258"
"873","INT_CRE_303","SRR37385638","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5445592,79,183060,469.392,"Klebsiella pneumoniae","ST17"
"874","INT_CRE_969","SRR37387495","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5592480,95,145763,352.126,"Klebsiella pneumoniae","ST258"
"875","INT_CRE_1580","SRR37385270","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5605798,97,154480,167.795,"Klebsiella pneumoniae","ST258"
"876","INT_CRE_1124","SRR37385252","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5591739,88,173419,244.481,"Klebsiella pneumoniae","ST258"
"877","INT_CRE_1307","SRR37385672","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5591905,93,130479,378.598,"Klebsiella pneumoniae","ST258"
"878","INT_CRE_1202","SRR37385900","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5458973,78,232976,375.016,"Klebsiella pneumoniae","ST17"
"879","INT_CRE_1489","SRR37385591","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5333213,55,196195,882.612,"Klebsiella pneumoniae","ST29"
"880","INT_CRE_259","SRR37385511","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5589064,92,137948,502.414,"Klebsiella pneumoniae","ST25"
"881","INT_CRE_983","SRR37387755","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5649992,98,132662,446.142,"Klebsiella pneumoniae","ST258"
